EGEM320-1,EGEM320,3,S,,,HILDEBRAND,CAS311,16,,EE-JR:EE-SR:ME-JR,EGEE310:EGEE370:EGEM220:EGEE345:EGEE375:EGNR346:EGRS385:EGRS430:EGRS435:EGME225:EGME337:EGEE320:EGEE355:EGEE425:EGEE365:EGME310:EGME411:COMM101:MATH308:EGEE330:EGNR491:EGRS460:EGNR495:EGRS461:HUMN251:EGEE210:EGME350:EGNR340:EGME338:EGME339:EGEE280:EGME240:EGME415:EGME425:EGRS365:EGME312:EGNR310
EGME141-1,EGME141,2,S,,,DUESING,CAS209C,1,,EET-FR:ME-FR:MT-FR,EGNR101:EGEE125:ENGL110:MATH111:CHEM108:CHEM109:ENGL111:MATH131:EGME110:EGNR140:MATH151:CHEM115:MATH152:MATH102:MATH207:MATH140
EGME141-2,EGME141,2,S,,,JANJUA,CAS209B,15,,EET-FR:ME-FR:MT-FR,EGNR101:EGEE125:ENGL110:MATH111:CHEM108:CHEM109:ENGL111:MATH131:EGME110:EGNR140:MATH151:CHEM115:MATH152:MATH102:MATH207:MATH140
EGME141-3,EGME141,2,S,,,JANJUA,CAS209B,15,,EET-FR:ME-FR:MT-FR,EGNR101:EGEE125:ENGL110:MATH111:CHEM108:CHEM109:ENGL111:MATH131:EGME110:EGNR140:MATH151:CHEM115:MATH152:MATH102:MATH207:MATH140
EGNR265-1,EGNR265,3,S,,,JONES,GEN10,28,,EE-SO:EET-SO:ME-SO:MT-SO,EGEE280:EGEE250:EGEE210:EGNR340:MATH251:PHYS231:MATH310:PHYS232:EGET110:EGNR140:EGET175:EGNR245:EGRS215:COMM101:MATH112:PHYS221:PHYS222:EGEM220:EGME225:EGME275:EGME276:EGME312:EGMT225:EGME240:EGNR310
EGME312-A2,EGME312,3,L,,,JANJUA,CAS209C,12,,ME-JR:ME-SR:MT-SO:MT-JR,EGEE210:EGEM320:EGME350:EGNR340:EGME337:EGME338:EGME339:EGEE280:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGRS385:EGRS430:EGRS435:EGNR310:COMM101:MATH308:EGEE300:EGNR491:EGME431:EGME432:EGRS460:EGRN495:HUMN251:EGNR265:EGET110:EGMT225:EGRS215:EGET175:PHYS221:EGRS380:EGRS381:EGNR140:EGME275:EGME276:EGNR245:MATH112
EGME350-1,EGME350,3,S,,,NUDURUPATI,GEN17,14,,ME-JR,EGEE210:EGEM320:EGNR340:EGME337:EGME338:EGME339:EGEE280:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGRS385:EGRS430:EGRS435:EGME312:EGNR310:COMM101:MATH308
EGME350-A,EGME350,3,L,,,NUDURUPATI,CAS120,14,,ME-JR,EGEE210:EGEM320:EGNR340:EGME337:EGME338:EGME339:EGEE280:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGRS385:EGRS430:EGRS435:EGME312:EGNR310:COMM101:MATH308
EGNR101-1,EGNR101,1,S,,,JONES:JANJUA:DUESING:DEVAPRASAD:HILDEBRAND,GEN4,50,,CE-FR:EE-FR:EET-FR:ME-FR:MT-FR,EGEE125:EGNR140:CHEM115:CSCI105:ENGL110:MATH151:CSCI121:ENGL111:MATH152:EGME141:MATH111:CHEM108:CHEM109:MATH131:EGME110:MATH102:MATH207:MATH140
EGNR101-B,EGNR101,2,L,,,JONES,CAS209C,1,,CE-FR:EE-FR:EET-FR:ME-FR:MT-FR,EGEE125:EGNR140:CHEM115:CSCI105:ENGL110:MATH151:CSCI121:ENGL111:MATH152:EGME141:MATH111:CHEM108:CHEM109:MATH131:EGME110:MATH102:MATH207:MATH140
EGNR101-D,EGNR101,2,L,,,JANJUA,CAS209C,1,,CE-FR:EE-FR:EET-FR:ME-FR:MT-FR,EGEE125:EGNR140:CHEM115:CSCI105:ENGL110:MATH151:CSCI121:ENGL111:MATH152:EGME141:MATH111:CHEM108:CHEM109:MATH131:EGME110:MATH102:MATH207:MATH140
